Participants	Duration..in.seconds.	Attention.check	Q3	Q4	Q5	Set_News	Type	Number	Accurate	Interesting	Order	Share
78	262	1	3	35	3	FL_417	TN	22	3	4	A	2
83	228	1	2	18	3	FL_417	TN	22	3	4	A	2
91	157	1	1	38	5	FL_417	TN	22	1	2	A	1
93	351	1	1	43	3	FL_417	TN	22	3	4	C	2
99	353	1	1	23	4	FL_417	TN	22	2	5	C	1
102	244	1	2	53	4	FL_417	TN	22	3	2	C	1
105	271	1	2	36	6	FL_417	TN	22	3	1	A	1
107	317	1	2	20	3	FL_417	TN	22	2	1	A	1
112	153	1	2	24	5	FL_417	TN	22	3	4	C	3
113	951	1	1	18	2	FL_417	TN	22	3	4	C	3
117	557	1	2	66	4	FL_417	TN	22	3	4	C	1
118	429	1	2	23	4	FL_417	TN	22	2	3	C	2
119	266	1	2	47	3	FL_417	TN	22	3	2	A	1
120	191	1	2	41	2	FL_417	TN	22	1	4	A	1
122	552	1	2	39	3	FL_417	TN	22	2	3	A	2
123	195	1	2	46	6	FL_417	TN	22	3	3	A	4
129	233	1	2	46	5	FL_417	TN	22	3	5	A	3
132	780	1	2	18	2	FL_417	TN	22	3	6	C	5
133	224	1	1	18	2	FL_417	TN	22	4	6	A	2
134	209	1	1	22	2	FL_417	TN	22	3	3	C	3
135	146	1	1	19	2	FL_417	TN	22	3	2	C	1
137	232	1	1	30	5	FL_417	TN	22	3	2	C	1
141	212	1	1	30	5	FL_417	TN	22	3	2	A	1
148	172	1	1	29	6	FL_417	TN	22	3	5	A	4
150	249	1	1	19	3	FL_417	TN	22	3	3	A	1
159	521	1	1	34	4	FL_417	TN	22	1	4	A	1
163	572	1	2	57	2	FL_417	TN	22	4	2	A	1
164	275	1	2	37	5	FL_417	TN	22	3	5	A	3
165	359	1	1	38	4	FL_417	TN	22	3	2	C	1
170	479	1	2	39	5	FL_417	TN	22	2	4	A	3
175	178	1	1	18	3	FL_417	TN	22	1	1	C	1
